| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
|  | | [2025/8/04  Evil Geniuses  13/4  def  10/2  atk  3/2    Week 3  Group Stage](/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3/?map=2) | | | | | | | | | | |  |
|  | | [2025/7/26  2Game Esports  13/5  def  8/4  atk  5/1    Week 2  Group Stage](/509807/2game-esports-vs-g2-esports-vct-2025-americas-stage-2-w2/?map=2) | | | | | | | | | | |  |
|  | | [2025/6/18  Gen.G  11/13  def  7/5  atk  4/8    Lower Round 2  Playoffs](/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2/?map=2) | | | | | | | | | | |  |
|  | | [2025/6/16  Xi Lai Gaming  13/8  def  7/5  atk  6/3    Lower Round 1  Playoffs](/498629/xi-lai-gaming-vs-g2-esports-valorant-masters-toronto-2025-lr1/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/05  Sentinels  13/9  def  5/7  atk  8/2    Grand Final  Playoffs](/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf/?map=1) | | | | | | | | | | |  |
|  | | [2025/5/04  MIBR  10/13  atk  6/6  def  4/7    Lower Final  Playoffs](/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf/?map=1) | | | | | | | | | | |  |
|  | | [2025/4/28  100 Thieves  13/4  atk  8/4  def  5/0    Lower Round 2  Playoffs](/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2/?map=1) | | | | | | | | | | |  |
|  | | [2025/4/19  Cloud9  4/13  def  3/9  atk  1/4    Week 5  Group Stage](/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5/?map=2) | | | | | | | | | | |  |
|  | | [2025/4/12  LEVIATÁN  13/7  def  10/2  atk  3/5    Week 4  Group Stage](/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4/?map=3) | | | | | | | | | | |  |
|  | | [2025/3/30  MIBR  13/11  def  7/5  atk  6/6    Week 2  Group Stage](/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2/?map=2) | | | | | | | | | | |  |
|  | | [2025/3/02  T1  9/13  atk  6/6  def  3/7    Grand Final  Playoffs](/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/24  Team Liquid  13/5  def  8/4  atk  5/1    Round 3  Swiss Stage](/449005/g2-esports-vs-team-liquid-champions-tour-2025-masters-bangkok-r3/?map=1) | | | | | | | | | | |  |
|  | | [2025/2/09  Sentinels  13/10  def  9/3  atk  4/7    Grand Final  Main Event](/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf/?map=5) | | | | | | | | | | |  |
|  | | [2024/11/22  FNATIC  13/9  def  8/4  atk  5/5    Round 3  Main Event](/424022/fnatic-vs-g2-esports-red-bull-home-ground-5-r3/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/22  Karmine Corp  13/7  def  7/5  atk  6/2    Round 1  Main Event](/423622/g2-esports-vs-karmine-corp-red-bull-home-ground-5-r1/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/21  FUT Esports  11/13  atk  4/8  def  7/5    Upper Final  International Play-ins](/421599/g2-esports-vs-fut-esports-red-bull-home-ground-5-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/16  FNATIC  3/13  atk  3/9  def  0/4    Lower Round 1  Playoffs](/378832/g2-esports-vs-fnatic-valorant-champions-2024-lr1/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/07  EDward Gaming  13/11  atk  6/6  def  7/5    Winner's (D)  Group Stage](/378675/edward-gaming-vs-g2-esports-valorant-champions-2024-winners-d/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/22  LEVIATÁN  14/16  atk  5/7  def  7/5  OT  2/4  Grand Final  Playoffs](/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/02  NRG  13/7  atk  8/4  def  5/3    Week 2  Regular Season](/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2/?map=1) | | | | | | | | | | |  |
|  | | [2023/11/04  Oxygen Esports  11/13  def  4/8  atk  7/5    Semifinal  Playoffs](/282932/oxygen-esports-vs-g2-esports-sentinels-invitational-sf/?map=1) | | | | | | | | | | |  |
|  | | [2023/11/02  Sentinels  6/13  atk  5/7  def  1/6    Day 1  Group Stage](/282936/sentinels-vs-g2-esports-sentinels-invitational-d1/?map=2) | | | | | | | | | | |  |
|  | | [2023/6/01  Oxygen Esports  8/13  def  3/9  atk  5/4    Upper Quarterfinals  Playoffs](/212525/oxygen-esports-vs-g2-esports-challengers-league-north-america-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2023/5/11  FaZe Clan  13/9  def  9/3  atk  4/6    Week 9  Split 2](/196152/g2-esports-vs-faze-clan-challengers-league-north-america-w9/?map=2) | | | | | | | | | | |  |
|  | | [2023/4/27  Moist Moguls  5/13  atk  5/7  def  0/6    Week 7  Split 2](/196140/g2-esports-vs-moist-moguls-challengers-league-north-america-w7/?map=3) | | | | | | | | | | |  |
|  | | [2023/4/21  OREsports  9/13  def  6/6  atk  3/7    Week 6  Split 2](/196138/g2-esports-vs-oresports-challengers-league-north-america-w6/?map=1) | | | | | | | | | | |  |
|  | | [2023/3/31  The Guard  8/13  def  6/6  atk  2/7    Lower Final  Mid-Season Face Off](/185987/the-guard-vs-g2-esports-challengers-league-north-america-lbf/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/29  FaZe Clan  13/8  def  6/6  atk  7/2    Lower Round 1  Mid-Season Face Off](/185983/faze-clan-vs-g2-esports-challengers-league-north-america-lr1/?map=2) | | | | | | | | | | |  |
