| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
|  | | [2025/6/16  Xi Lai Gaming  13/3  def  10/2  atk  3/1    Lower Round 1  Playoffs](/498629/xi-lai-gaming-vs-g2-esports-valorant-masters-toronto-2025-lr1/?map=1) | | | | | | | | | | |  |
|  | | [2025/4/27  Sentinels  11/13  def  6/6  atk  5/7    Upper Semifinals  Playoffs](/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2025/4/19  Cloud9  13/5  atk  8/4  def  5/1    Week 5  Group Stage](/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/15  LEVIATÁN  14/16  atk  8/4  def  4/8  OT  2/4  Upper Quarterfinals  Playoffs](/378824/g2-esports-vs-leviat-n-valorant-champions-2024-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/07  EDward Gaming  8/13  def  3/9  atk  5/4    Winner's (D)  Group Stage](/378675/edward-gaming-vs-g2-esports-valorant-champions-2024-winners-d/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/04  Paper Rex  13/8  atk  8/4  def  5/4    Opening (D)  Group Stage](/378674/g2-esports-vs-paper-rex-valorant-champions-2024-opening-d/?map=1) | | | | | | | | | | |  |
|  | | [2024/7/20  LEVIATÁN  13/8  atk  10/2  def  3/6    Upper Final  Playoffs](/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2024/6/25  Cloud9  5/13  def  2/10  atk  3/3    Week 1  Regular Season](/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1/?map=2) | | | | | | | | | | |  |
|  | | [2024/6/08  Team Heretics  6/13  atk  4/8  def  2/5    Lower Final  Playoffs](/348475/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-lf/?map=2) | | | | | | | | | | |  |
|  | | [2024/6/02  Team Heretics  7/13  atk  2/10  def  5/3    Upper Semifinals  Playoffs](/348469/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/23  T1  1/13  def  1/11  atk  0/2    Round 1  Swiss Stage](/348063/g2-esports-vs-t1-champions-tour-2024-masters-shanghai-r1/?map=2) | | | | | | | | | | |  |
|  | | [2024/5/12  LEVIATÁN  12/14  def  6/6  atk  6/6  OT  0/2  Lower Final  Playoffs](/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf/?map=3) | | | | | | | | | | |  |
|  | | [2024/5/10  KRÜ Esports  13/5  def  8/4  atk  5/1    Upper Semifinals  Playoffs](/337409/kr-esports-vs-g2-esports-champions-tour-2024-americas-stage-1-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/06  LOUD  4/13  atk  3/9  def  1/4    Week 5  Regular Season](/314654/g2-esports-vs-loud-champions-tour-2024-americas-stage-1-w5/?map=2) | | | | | | | | | | |  |
|  | | [2024/4/28  MIBR  13/9  def  7/5  atk  6/4    Week 4  Regular Season](/314644/g2-esports-vs-mibr-champions-tour-2024-americas-stage-1-w4/?map=1) | | | | | | | | | | |  |
|  | | [2024/4/25  LEVIATÁN  13/8  def  6/6  atk  7/2    Week 3  Regular Season](/314642/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3/?map=2) | | | | | | | | | | |  |
|  | | [2024/4/23  FURIA  13/3  def  9/3  atk  4/0    Week 3  Regular Season](/314638/g2-esports-vs-furia-champions-tour-2024-americas-stage-1-w3/?map=2) | | | | | | | | | | |  |
|  | | [2024/4/08  Evil Geniuses  13/3  def  9/3  atk  4/0    Week 1  Regular Season](/314624/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w1/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/25  Evil Geniuses  11/13  atk  5/7  def  6/6    Winner's (C)  Group Stage](/295617/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-kickoff-winners-c/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/19  KRÜ Esports  9/13  atk  6/6  def  3/7    Opening (C)  Group Stage](/295615/kr-esports-vs-g2-esports-champions-tour-2024-americas-kickoff-opening-c/?map=1) | | | | | | | | | | |  |
|  | | [2023/4/01  M80  5/13  atk  4/8  def  1/5    Grand Final  Mid-Season Face Off](/185981/m80-vs-g2-esports-challengers-league-north-america-gf/?map=3) | | | | | | | | | | |  |
|  | | [2023/3/31  Oxygen Esports  13/4  def  8/4  atk  5/0    Lower Round 3  Mid-Season Face Off](/185986/oxygen-esports-vs-g2-esports-challengers-league-north-america-lr3/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/18  Shopify Rebellion Black  13/8  def  10/2  atk  3/6    Week 5  Split 1](/169008/g2-esports-vs-shopify-rebellion-challengers-league-north-america-w5/?map=1) | | | | | | | | | | |  |
|  | | [2023/2/02  FaZe Clan  13/4  def  9/3  atk  4/1    Week 1  Split 1](/168984/faze-clan-vs-g2-esports-challengers-league-north-america-w1/?map=2) | | | | | | | | | | |  |
| Breeze (8) |  | 50% | 4 | 4 | 5 | 3 | 48% | 44 | 47 | 51% | 45 | 43 | (3)  (3)  (2) |
|  | | [2024/5/23  T1  13/8  def  7/5  atk  6/3    Round 1  Swiss Stage](/348063/g2-esports-vs-t1-champions-tour-2024-masters-shanghai-r1/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/13  100 Thieves  7/13  atk  6/6  def  1/7    Grand Final  Playoffs](/337412/100-thieves-vs-g2-esports-champions-tour-2024-americas-stage-1-gf/?map=2) | | | | | | | | | | |  |
|  | | [2024/5/12  LEVIATÁN  13/7  def  9/3  atk  4/4    Lower Final  Playoffs](/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf/?map=2) | | | | | | | | | | |  |
|  | | [2024/4/25  LEVIATÁN  6/13  atk  2/10  def  4/3    Week 3  Regular Season](/314642/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3/?map=1) | | | | | | | | | | |  |
|  | | [2024/2/27  Sentinels  13/9  atk  9/3  def  4/6    Play-ins  Play-Ins](/307574/sentinels-vs-g2-esports-champions-tour-2024-americas-kickoff-play-ins/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/27  MIBR  10/13  def  6/6  atk  4/7    Play-ins  Play-Ins](/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins/?map=3) | | | | | | | | | | |  |
|  | | [2023/11/03  Moist x Shopify  16/14  atk  6/6  def  6/6  OT  4/2  Day 2  Group Stage](/282938/moist-x-shopify-vs-g2-esports-sentinels-invitational-d2/?map=2) | | | | | | | | | | |  |
|  | | [2023/11/02  Oxygen Esports  11/13  atk  4/8  def  7/5    Day 1  Group Stage](/282935/g2-esports-vs-oxygen-esports-sentinels-invitational-d1/?map=1) | | | | | | | | | | |  |
| Fracture (7) |  | 29% | 2 | 5 | 3 | 4 | 43% | 29 | 38 | 41% | 28 | 41 | (1)  (3)  (1)  (1)  (1) |
|  | | [2025/4/12  LEVIATÁN  11/13  def  7/5  atk  4/8    Week 4  Group Stage](/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/22  EDward Gaming  4/13  atk  1/11  def  3/2    Round 2 (1-0)  Swiss Stage](/449001/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-r2-1-0/?map=3) | | | | | | | | | | |  |
|  | | [2025/2/09  Sentinels  13/5  atk  8/4  def  5/1    Grand Final  Main Event](/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf/?map=4) | | | | | | | | | | |  |
|  | | [2025/2/01  LEVIATÁN  13/9  atk  8/4  def  5/5    Upper Semifinals  Main Event](/428000/g2-esports-vs-leviat-n-champions-tour-2025-americas-kickoff-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2023/4/01  M80  10/13  def  4/8  atk  6/5    Grand Final  Mid-Season Face Off](/185981/m80-vs-g2-esports-challengers-league-north-america-gf/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/10  Turtle Troop  1/13  def  1/11  atk  0/2    Week 4  Split 1](/169004/g2-esports-vs-turtle-troop-challengers-league-north-america-w4/?map=1) | | | | | | | | | | |  |
|  | | [2023/2/02  FaZe Clan  5/13  def  3/9  atk  2/4    Week 1  Split 1](/168984/faze-clan-vs-g2-esports-challengers-league-north-america-w1/?map=1) | | | | | | | | | | |  |
| Pearl (15) |  | 67% | 10 | 5 | 5 | 10 | 60% | 100 | 68 | 46% | 83 | 98 | (1)  (5)  (5)  (1)  (1)  (1)  (1) |
|  | | [2025/7/09  Bilibili Gaming  13/4  atk  9/3  def  4/1    Elimination (A)  Group Stage](/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/05  Sentinels  10/13  def  2/10  atk  8/3    Grand Final  Playoffs](/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf/?map=3) | | | | | | | | | | |  |
|  | | [2025/5/03  Evil Geniuses  13/11  def  5/7  atk  8/4    Lower Round 3  Playoffs](/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3/?map=3) | | | | | | | | | | |  |
|  | | [2025/4/28  100 Thieves  16/14  atk  6/6  def  6/6  OT  4/2  Lower Round 2  Playoffs](/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2/?map=3) | | | | | | | | | | |  |
|  | | [2025/4/19  Cloud9  13/11  atk  7/5  def  6/6    Week 5  Group Stage](/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5/?map=3) | | | | | | | | | | |  |
|  | | [2025/3/30  MIBR  12/14  def  6/6  atk  6/6  OT  0/2  Week 2  Group Stage](/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2/?map=1) | | | | | | | | | | |  |
|  | | [2025/3/02  T1  14/16  atk  4/8  def  8/4  OT  2/4  Grand Final  Playoffs](/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf/?map=5) | | | | | | | | | | |  |
|  | | [2025/2/22  EDward Gaming  18/16  def  6/6  atk  6/6  OT  6/4  Round 2 (1-0)  Swiss Stage](/449001/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-r2-1-0/?map=1) | | | | | | | | | | |  |
|  | | [2025/2/09  Sentinels  13/8  def  6/6  atk  7/2    Grand Final  Main Event](/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/07  Sentinels  13/7  def  7/5  atk  6/2    Upper Final  Main Event](/428001/sentinels-vs-g2-esports-champions-tour-2025-americas-kickoff-ubf/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/01  LEVIATÁN  13/5  atk  8/4  def  5/1    Upper Semifinals  Main Event](/428000/g2-esports-vs-leviat-n-champions-tour-2025-americas-kickoff-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/23  Cloud9  4/13  def  4/8  atk  0/5    Semifinals  Main Event](/424007/g2-esports-vs-cloud9-red-bull-home-ground-5-sf/?map=2) | | | | | | | | | | |  |
|  | | [2023/5/06  MAD Lions  15/13  def  3/9  atk  9/3  OT  3/1  Week 8  Split 2](/196150/g2-esports-vs-mad-lions-challengers-league-north-america-w8/?map=2) | | | | | | | | | | |  |
|  | | [2023/4/01  M80  3/13  def  3/9  atk  0/4    Grand Final  Mid-Season Face Off](/185981/m80-vs-g2-esports-challengers-league-north-america-gf/?map=4) | | | | | | | | | | |  |
|  | | [2023/2/11  BreakThru  13/8  def  5/7  atk  8/1    Week 2  Split 1](/168995/g2-esports-vs-breakthru-challengers-league-north-america-w2/?map=3) | | | | | | | | | | |  |
| Lotus (39) |  | 67% | 26 | 13 | 17 | 22 | 52% | 209 | 195 | 57% | 244 | 181 | (4)  (1)  (11)  (17)  (1)  (2)  (2) |
|  | | [2025/8/18  Cloud9  13/9  def  8/4  atk  5/5    Week 5  Group Stage](/509830/g2-esports-vs-cloud9-vct-2025-americas-stage-2-w5/?map=2) | | | | | | | | | | |  |
|  | | [2025/7/21  Sentinels  12/14  def  8/4  atk  4/8  OT  0/2  Week 1  Group Stage](/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?map=3) | | | | | | | | | | |  |
|  | | [2025/6/21  FNATIC  10/13  atk  6/6  def  4/7    Lower Round 3  Playoffs](/498633/g2-esports-vs-fnatic-valorant-masters-toronto-2025-lr3/?map=1) | | | | | | | | | | |  |
|  | | [2025/6/18  Gen.G  13/7  def  10/2  atk  3/5    Lower Round 2  Playoffs](/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2/?map=1) | | | | | | | | | | |  |
|  | | [2025/6/14  Paper Rex  11/13  atk  6/6  def  5/7    Upper Quarterfinals  Playoffs](/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/04  MIBR  15/13  def  7/5  atk  5/7  OT  3/1  Lower Final  Playoffs](/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/03  Evil Geniuses  9/13  def  8/4  atk  1/9    Lower Round 3  Playoffs](/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3/?map=1) | | | | | | | | | | |  |
|  | | [2025/4/12  LEVIATÁN  13/10  def  6/6  atk  7/4    Week 4  Group Stage](/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4/?map=1) | | | | | | | | | | |  |
|  | | [2025/4/06  NRG  13/1  def  11/1  atk  2/0    Week 3  Group Stage](/459532/g2-esports-vs-nrg-esports-champions-tour-2025-americas-stage-1-w3/?map=1) | | | | | | | | | | |  |
|  | | [2025/3/23  FURIA  13/10  def  3/9  atk  10/1    Week 1  Group Stage](/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1/?map=1) | | | | | | | | | | |  |
|  | | [2025/3/02  T1  13/5  atk  8/4  def  5/1    Grand Final  Playoffs](/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf/?map=1) | | | | | | | | | | |  |
|  | | [2025/2/28  EDward Gaming  13/8  def  7/5  atk  6/3    Upper Final  Playoffs](/449010/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2025/2/27  Team Vitality  13/9  atk  6/6  def  7/3    Upper Semifinals  Playoffs](/449009/team-vitality-vs-g2-esports-champions-tour-2025-masters-bangkok-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/24  Team Liquid  13/7  atk  6/6  def  7/1    Round 3  Swiss Stage](/449005/g2-esports-vs-team-liquid-champions-tour-2025-masters-bangkok-r3/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/21  Trace Esports  13/8  atk  7/5  def  6/3    Round 1  Swiss Stage](/448597/g2-esports-vs-trace-esports-champions-tour-2025-masters-bangkok-r1/?map=1) | | | | | | | | | | |  |
|  | | [2025/1/20  Cloud9  13/6  def  8/4  atk  5/2    Upper Quarterfinals  Main Event](/427997/g2-esports-vs-cloud9-champions-tour-2025-americas-kickoff-ubqf/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/04  Paper Rex  13/9  def  9/3  atk  4/6    Opening (D)  Group Stage](/378674/g2-esports-vs-paper-rex-valorant-champions-2024-opening-d/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/22  LEVIATÁN  13/15  def  6/6  atk  6/6  OT  1/3  Grand Final  Playoffs](/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf/?map=1) | | | | | | | | | | |  |
|  | | [2024/7/19  100 Thieves  13/5  def  7/5  atk  6/0    Upper Semifinals  Playoffs](/371269/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2024/7/15  Sentinels  13/9  def  8/4  atk  5/5    Week 4  Regular Season](/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/07  KRÜ Esports  4/13  def  3/9  atk  1/4    Week 3  Regular Season](/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3/?map=1) | | | | | | | | | | |  |
|  | | [2024/6/25  Cloud9  13/8  atk  4/8  def  9/0    Week 1  Regular Season](/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1/?map=3) | | | | | | | | | | |  |
|  | | [2024/6/08  Team Heretics  8/13  def  3/9  atk  5/4    Lower Final  Playoffs](/348475/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-lf/?map=3) | | | | | | | | | | |  |
|  | | [2024/6/07  Gen.G  8/13  atk  5/7  def  3/6    Upper Final  Playoffs](/348473/g2-esports-vs-gen-g-champions-tour-2024-masters-shanghai-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2024/6/02  Team Heretics  13/4  def  8/4  atk  5/0    Upper Semifinals  Playoffs](/348469/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-ubsf/?map=3) | | | | | | | | | | |  |
|  | | [2024/5/31  Paper Rex  13/10  atk  6/6  def  7/4    Upper Quarterfinals  Playoffs](/348463/paper-rex-vs-g2-esports-champions-tour-2024-masters-shanghai-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2024/5/25  Team Heretics  9/13  atk  4/8  def  5/5    Round 2  Swiss Stage](/348457/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-r2/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/23  T1  14/12  atk  3/9  def  9/3  OT  2/0  Round 1  Swiss Stage](/348063/g2-esports-vs-t1-champions-tour-2024-masters-shanghai-r1/?map=3) | | | | | | | | | | |  |
|  | | [2024/5/12  LEVIATÁN  13/10  atk  8/4  def  5/6    Lower Final  Playoffs](/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf/?map=4) | | | | | | | | | | |  |
|  | | [2024/5/09  Cloud9  13/6  atk  7/5  def  6/1    Knockout Round  Playoffs](/337407/cloud9-vs-g2-esports-champions-tour-2024-americas-stage-1-ko/?map=1) | | | | | | | | | | |  |
|  | | [2024/4/25  LEVIATÁN  9/13  def  5/7  atk  4/6    Week 3  Regular Season](/314642/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3/?map=3) | | | | | | | | | | |  |
|  | | [2024/4/23  FURIA  13/3  atk  9/3  def  4/0    Week 3  Regular Season](/314638/g2-esports-vs-furia-champions-tour-2024-americas-stage-1-w3/?map=1) | | | | | | | | | | |  |
|  | | [2024/4/08  Evil Geniuses  13/8  def  6/6  atk  7/2    Week 1  Regular Season](/314624/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w1/?map=1) | | | | | | | | | | |  |
|  | | [2023/11/03  Moist x Shopify  13/7  atk  8/4  def  5/3    Day 2  Group Stage](/282938/moist-x-shopify-vs-g2-esports-sentinels-invitational-d2/?map=1) | | | | | | | | | | |  |
|  | | [2023/5/18  The Guard  7/13  atk  6/6  def  1/7    Week 10  Split 2](/196158/the-guard-vs-g2-esports-challengers-league-north-america-w10/?map=2) | | | | | | | | | | |  |
|  | | [2023/4/27  Moist Moguls  13/9  atk  4/8  def  9/1    Week 7  Split 2](/196140/g2-esports-vs-moist-moguls-challengers-league-north-america-w7/?map=1) | | | | | | | | | | |  |
|  | | [2023/4/21  OREsports  4/13  def  3/9  atk  1/4    Week 6  Split 2](/196138/g2-esports-vs-oresports-challengers-league-north-america-w6/?map=3) | | | | | | | | | | |  |
|  | | [2023/3/30  Moist Moguls  13/11  def  4/8  atk  9/3    Lower Round 2  Mid-Season Face Off](/185985/moist-moguls-vs-g2-esports-challengers-league-north-america-lr2/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/24  Oxygen Esports  8/13  def  6/6  atk  2/7    Upper Quarterfinals  Mid-Season Face Off](/185977/g2-esports-vs-oxygen-esports-challengers-league-north-america-ubqf/?map=3) | | | | | | | | | | |  |
| Sunset (15) |  | 40% | 6 | 9 | 5 | 10 | 49% | 69 | 72 | 49% | 86 | 90 | (2)  (1)  (1)  (3)  (1)  (5)  (1)  (1) |
|  | | [2025/8/23  NRG  13/11  atk  5/7  def  8/4    Upper Semifinals  Playoffs](/530907/nrg-vs-g2-esports-vct-2025-americas-stage-2-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2025/8/22  100 Thieves  13/4  def  10/2  atk  3/2    Upper Round 1  Playoffs](/530903/g2-esports-vs-100-thieves-vct-2025-americas-stage-2-ur1/?map=1) | | | | | | | | | | |  |
|  | | [2025/7/09  Bilibili Gaming  3/13  def  2/10  atk  1/3    Elimination (A)  Group Stage](/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a/?map=1) | | | | | | | | | | |  |
|  | | [2025/7/08  Karmine Corp  6/13  def  5/7  atk  1/6    Opening (A)  Group Stage](/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/23  Cloud9  5/13  atk  5/7  def  0/6    Semifinals  Main Event](/424007/g2-esports-vs-cloud9-red-bull-home-ground-5-sf/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/21  Permitta Unicorns  13/3  def  9/3  atk  4/0    Lower Final  International Play-ins](/421605/g2-esports-vs-permitta-unicorns-red-bull-home-ground-5-lbf/?map=1) | | | | | | | | | | |  |
|  | | [2024/11/21  BBL Esports  13/5  def  8/4  atk  5/1    Upper Semifinals  International Play-ins](/421597/g2-esports-vs-bbl-esports-red-bull-home-ground-5-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/13  100 Thieves  8/13  atk  4/8  def  4/5    Grand Final  Playoffs](/337412/100-thieves-vs-g2-esports-champions-tour-2024-americas-stage-1-gf/?map=3) | | | | | | | | | | |  |
|  | | [2024/2/27  Sentinels  8/13  def  8/4  atk  0/9    Play-ins  Play-Ins](/307574/sentinels-vs-g2-esports-champions-tour-2024-americas-kickoff-play-ins/?map=1) | | | | | | | | | | |  |
|  | | [2024/2/27  MIBR  9/13  def  6/6  atk  3/7    Play-ins  Play-Ins](/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins/?map=1) | | | | | | | | | | |  |
|  | | [2024/2/26  KRÜ Esports  13/8  def  5/7  atk  8/1    Decider (C)  Group Stage](/295619/g2-esports-vs-kr-esports-champions-tour-2024-americas-kickoff-decider-c/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/25  Evil Geniuses  13/15  atk  8/4  def  4/8  OT  1/3  Winner's (C)  Group Stage](/295617/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-kickoff-winners-c/?map=1) | | | | | | | | | | |  |
|  | | [2024/2/19  KRÜ Esports  13/9  def  6/6  atk  7/3    Opening (C)  Group Stage](/295615/kr-esports-vs-g2-esports-champions-tour-2024-americas-kickoff-opening-c/?map=2) | | | | | | | | | | |  |
|  | | [2023/11/02  Sentinels  14/16  def  8/4  atk  4/8  OT  2/4  Day 1  Group Stage](/282936/sentinels-vs-g2-esports-sentinels-invitational-d1/?map=1) | | | | | | | | | | |  |
|  | | [2023/10/27  Sentinels  11/13  atk  10/2  def  1/11    Showmatch  Main Event](/281551/g2-esports-vs-sentinels-g2-sentinels-showmatch-showmatch/?map=1) | | | | | | | | | | |  |
| Abyss (7) |  | 71% | 5 | 2 | 2 | 5 | 59% | 41 | 29 | 51% | 38 | 36 | (5)  (2) |
|  | | [2025/3/02  T1  13/11  def  4/8  atk  9/3    Grand Final  Playoffs](/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf/?map=3) | | | | | | | | | | |  |
|  | | [2025/2/21  Trace Esports  13/3  def  9/3  atk  4/0    Round 1  Swiss Stage](/448597/g2-esports-vs-trace-esports-champions-tour-2025-masters-bangkok-r1/?map=2) | | | | | | | | | | |  |
|  | | [2025/2/09  Sentinels  9/13  def  5/7  atk  4/6    Grand Final  Main Event](/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf/?map=3) | | | | | | | | | | |  |
|  | | [2025/2/07  Sentinels  13/7  atk  10/2  def  3/5    Upper Final  Main Event](/428001/sentinels-vs-g2-esports-champions-tour-2025-americas-kickoff-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2025/1/20  Cloud9  13/8  def  9/3  atk  4/5    Upper Quarterfinals  Main Event](/427997/g2-esports-vs-cloud9-champions-tour-2025-americas-kickoff-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2024/8/15  LEVIATÁN  5/13  atk  4/8  def  1/5    Upper Quarterfinals  Playoffs](/378824/g2-esports-vs-leviat-n-valorant-champions-2024-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/19  100 Thieves  13/10  def  7/5  atk  6/5    Upper Semifinals  Playoffs](/371269/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-ubsf/?map=2) | | | | | | | | | | |  |
| Corrode (4) |  | 25% | 1 | 3 | 3 | 1 | 58% | 26 | 19 | 42% | 16 | 22 | (2)  (1)  (1) |
|  | | [2025/8/23  NRG  10/13  atk  4/8  def  6/5    Upper Semifinals  Playoffs](/530907/nrg-vs-g2-esports-vct-2025-americas-stage-2-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2025/8/11  FURIA  13/2  atk  10/2  def  3/0    Week 4  Group Stage](/509823/furia-vs-g2-esports-vct-2025-americas-stage-2-w4/?map=1) | | | | | | | | | | |  |
|  | | [2025/8/04  Evil Geniuses  11/13  atk  6/6  def  5/7    Week 3  Group Stage](/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3/?map=1) | | | | | | | | | | |  |
|  | | [2025/7/21  Sentinels  8/13  def  2/10  atk  6/3    Week 1  Group Stage](/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?map=1) | | | | | | | | | | |  |
