| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [frz  LOS](/player/651/frz) | (+2) | 343 | 1.16 | 213.5 | 1.24 | 75% | 145.9 | 0.79 | 0.14 | 0.11 | 0.04 | 32% | 22% | 11/51 | [27](/518748/stellae-gaming-vs-red-canids-challengers-2025-brazil-gamers-club-split-2-ubsf) | 272 | 220 | 47 | 37 | 14 |
| [Chronicle  FNC](/player/458/chronicle) | (+1) | 596 | 1.16 | 228.8 | 1.21 | 73% | 151.9 | 0.80 | 0.29 | 0.09 | 0.08 | 26% | 12% | 10/81 | [29](/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf) | 475 | 394 | 175 | 55 | 47 |
| [Famsii  DSY](/player/16209/famsii) | (+1) | 312 | 1.16 | 242.1 | 1.24 | 76% | 155.2 | 0.86 | 0.19 | 0.18 | 0.12 | 26% | 10% | 2/21 | [27](/505104/bar-a-esports-vs-dnsty-challengers-2025-spain-rising-split-3-r5) | 268 | 217 | 58 | 55 | 38 |
| [soko  EXG.GC](/player/26122/soko) |  | 230 | 1.16 | 268.6 | 1.22 | 73% | 172.7 | 0.92 | 0.21 | 0.16 | 0.10 | 25% | 10% | 1/10 | [35](/504685/kiss-vs-divine-game-changers-2025-oceania-split-2-ubsf) | 212 | 174 | 48 | 36 | 23 |
| [Kiles  EP](/player/2894/kiles) |  | 321 | 1.16 | 211.4 | 1.39 | 76% | 136.0 | 0.80 | 0.20 | 0.07 | 0.06 | 36% | 14% | 6/42 | [25](/520207/boars-vs-enterprise-esports-challengers-2025-north-east-samsung-odyssey-split-3-r4-2-1) | 256 | 184 | 63 | 22 | 19 |
| [alym  QOR](/player/48025/alym) | (+1) | 681 | 1.16 | 267.7 | 1.31 | 73% | 166.9 | 0.95 | 0.20 | 0.24 | 0.19 | 30% | 21% | 7/33 | [34](/532791/qor-vs-nightblood-gaming-challengers-2025-north-america-ace-stage-3-ubqf) | 644 | 493 | 135 | 165 | 131 |
| [Kadoom  SPE](/player/12098/kadoom) |  | 215 | 1.16 | 270.0 | 1.14 | 70% | 175.9 | 0.90 | 0.23 | 0.24 | 0.21 | 32% | 22% | 2/9 | [27](/521232/naos-vs-sharper-esport-challengers-2025-southeast-asia-split-3-w4) | 194 | 170 | 50 | 51 | 45 |
| [Seoldam  RID](/player/10584/seoldam) |  | 346 | 1.15 | 251.8 | 1.22 | 72% | 150.5 | 0.87 | 0.18 | 0.17 | 0.12 | 21% | 3% | 1/29 | [25](/524994/riddle-order-vs-reject-challengers-league-2025-japan-finals-ubsf) | 300 | 246 | 63 | 60 | 40 |
| [GSR  TLA](/player/50813/gsr) | (+3) | 484 | 1.15 | 238.2 | 1.19 | 76% | 160.4 | 0.83 | 0.31 | 0.17 | 0.13 | 29% | 17% | 6/36 | [26](/521605/d-ti-ulice-vs-team-liquid-academy-challengers-2025-north-east-samsung-odyssey-split-3-lbf) | 400 | 335 | 148 | 81 | 65 |
| [Jerrwin  SAD](/player/34057/jerrwin) | (+1) | 974 | 1.15 | 262.6 | 1.21 | 72% | 160.1 | 0.90 | 0.21 | 0.22 | 0.18 | 22% | 12% | 7/60 | [32](/526724/sad-esports-vs-legacy-kingdom-funhavergg-zero-in-lan-sf) | 875 | 724 | 203 | 215 | 175 |
