| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [xuss  FKS](/player/2658/xuss) | (+2) | 208 | 1.07 | 236.7 | 1.20 | 69% | 148.1 | 0.87 | 0.12 | 0.20 | 0.16 | 29% | 12% | 3/26 | [23](/522085/fokus-vs-cgn-esports-challengers-2025-dach-evolution-split-3-lr2) | 180 | 150 | 24 | 42 | 34 |
| [bee  FMG.GC](/player/29794/bee) |  | 205 | 1.07 | 203.2 | 1.12 | 76% | 133.9 | 0.69 | 0.34 | 0.10 | 0.09 | 25% | 5% | 1/20 | [20](/527237/frick-my-chungus-life-vs-todobew-gc-game-changers-2025-emea-contenders-series-2-playoffs-ubqf) | 142 | 127 | 70 | 21 | 18 |
| [CRUNCH  BBB](/player/21428/crunch) | (+2) | 257 | 1.07 | 228.8 | 1.07 | 70% | 146.6 | 0.79 | 0.26 | 0.18 | 0.18 | 24% | 7% | 1/14 | [25](/505129/fusion-vs-contra-challengers-2025-latam-north-ace-stage-2-w1) | 202 | 189 | 66 | 46 | 47 |
| [Cohburg  YFP](/player/16757/cohburg) | (+6) | 1103 | 1.07 | 205.0 | 1.05 | 72% | 129.1 | 0.71 | 0.35 | 0.09 | 0.09 | 25% | 11% | 18/157 | [31](/509781/relaxed-reptilians-vs-pigeons-funhavergg-zero-in-qualifier-6-group-stage-winners-k) | 785 | 745 | 385 | 99 | 94 |
| [Blahst  LGCY](/player/5035/blahst) | (+1) | 951 | 1.07 | 208.9 | 1.08 | 70% | 139.2 | 0.74 | 0.20 | 0.09 | 0.09 | 26% | 14% | 21/149 | [26](/511505/the-fry-cooks-vs-legacy-kingdom-funhavergg-zero-in-qualifier-7-ro16) | 704 | 653 | 188 | 84 | 83 |
| [Eggsterr  NV](/player/35302/eggsterr) |  | 512 | 1.07 | 211.7 | 1.14 | 73% | 135.7 | 0.77 | 0.27 | 0.12 | 0.13 | 28% | 27% | 12/44 | [27](/516084/burger-boyz-vs-canezerra-n-friends-funhavergg-zero-in-final-qualifier-gf) | 393 | 344 | 137 | 59 | 67 |
| [Sinaway  FH](/player/29821/sinaway) | (+2) | 492 | 1.06 | 199.7 | 1.07 | 76% | 131.3 | 0.71 | 0.39 | 0.07 | 0.08 | 30% | 19% | 10/54 | [28](/516786/full-house-vs-og-challengers-2025-oceania-split-2-r2) | 349 | 327 | 191 | 36 | 37 |
| [sorex  Alli](/player/47982/sorex) | (+3) | 744 | 1.06 | 198.1 | 1.11 | 71% | 128.8 | 0.73 | 0.19 | 0.07 | 0.08 | 37% | 16% | 19/117 | [25](/521642/playvalorant-vs-abdes-daycare-bell-esports-challenge-2025-ro16) | 543 | 487 | 144 | 53 | 59 |
| [crashies  FNC](/player/4/crashies) |  | 596 | 1.06 | 190.6 | 1.08 | 74% | 130.3 | 0.67 | 0.30 | 0.06 | 0.06 | 33% | 15% | 12/78 | [24](/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d) | 402 | 373 | 181 | 34 | 36 |
| [paTiTek  TL](/player/309/patitek) | (+2) | 293 | 1.06 | 191.5 | 1.12 | 78% | 126.2 | 0.69 | 0.39 | 0.09 | 0.07 | 23% | 25% | 9/36 | [25](/530929/team-liquid-vs-giantx-vct-2025-emea-stage-2-ubsf) | 202 | 181 | 113 | 25 | 21 |
| [Limp  AXL](/player/2897/limp) |  | 295 | 1.06 | 201.6 | 1.02 | 73% | 129.8 | 0.69 | 0.37 | 0.10 | 0.05 | 24% | 18% | 8/45 | [24](/522030/arise-vs-questionmarks-blooming-talents-league-2025-stage-3-ubf) | 203 | 199 | 109 | 29 | 15 |
| [renz  MU](/player/2119/renz) | (+5) | 1007 | 1.06 | 218.9 | 1.10 | 71% | 143.0 | 0.77 | 0.24 | 0.11 | 0.10 | 25% | 11% | 10/94 | [28](/515712/maryville-university-vs-overtake-funhavergg-zero-in-final-qualifier-groups-winners-i) | 780 | 707 | 238 | 114 | 104 |
| [Kaoticc  L11](/player/4917/kaoticc) | (+1) | 405 | 1.06 | 244.6 | 1.10 | 72% | 151.6 | 0.83 | 0.18 | 0.24 | 0.20 | 21% | 4% | 1/28 | [28](/509404/landor-vs-shopify-rebellion-black-challengers-2025-north-america-ace-stage-3-r1) | 336 | 306 | 73 | 96 | 79 |
| [Natasha  TBS](/player/27724/natasha) | (+1) | 295 | 1.06 | 209.6 | 1.05 | 70% | 141.9 | 0.74 | 0.22 | 0.08 | 0.08 | 35% | 6% | 3/49 | [25](/510444/tbs-gc-vs-corinthians-esports-inclusivo-game-changers-2025-brazil-stage-2-r4) | 218 | 207 | 64 | 25 | 23 |
| [Dambi  NS](/player/31827/dambi) | (+1) | 400 | 1.06 | 228.9 | 1.09 | 72% | 141.2 | 0.79 | 0.22 | 0.19 | 0.16 | 24% | 25% | 4/16 | [23](/508840/gen-g-vs-nongshim-redforce-vct-2025-pacific-stage-2-w4) | 314 | 289 | 89 | 74 | 65 |
| [niffy  SPE](/player/19150/niffy) |  | 215 | 1.06 | 204.1 | 1.12 | 73% | 134.9 | 0.75 | 0.15 | 0.09 | 0.06 | 30% | 10% | 3/31 | [24](/521223/xipto-esports-vs-sharper-esport-challengers-2025-southeast-asia-split-3-w3) | 161 | 144 | 33 | 19 | 13 |
| [eeiu  100T](/player/796/eeiu) |  | 415 | 1.06 | 194.1 | 1.10 | 74% | 127.9 | 0.72 | 0.25 | 0.06 | 0.07 | 31% | 7% | 4/56 | [26](/530905/100-thieves-vs-evil-geniuses-vct-2025-americas-stage-2-lr1) | 297 | 270 | 105 | 25 | 30 |
| [mwzera  LOS](/player/939/mwzera) |  | 205 | 1.06 | 193.0 | 1.05 | 75% | 132.6 | 0.68 | 0.29 | 0.05 | 0.06 | 22% | 23% | 7/31 | [19](/518742/los-grandes-vs-corinthians-esports-challengers-2025-brazil-gamers-club-split-2-winners) | 139 | 132 | 59 | 11 | 13 |
| [dos9  BME](/player/16215/dos9) | (+1) | 235 | 1.06 | 204.6 | 1.06 | 75% | 126.0 | 0.72 | 0.39 | 0.08 | 0.09 | 29% | 14% | 5/37 | [25](/508843/boom-esports-vs-zeta-division-vct-2025-pacific-stage-2-w4) | 169 | 160 | 92 | 18 | 20 |
| [Knight  BLG](/player/4774/knight) |  | 465 | 1.06 | 202.5 | 1.09 | 72% | 129.1 | 0.71 | 0.25 | 0.08 | 0.06 | 27% | 6% | 1/18 | [25](/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a) | 328 | 301 | 115 | 38 | 29 |
| [Scales  TYL](/player/39485/scales) | (+1) | 210 | 1.06 | 214.1 | 1.06 | 67% | 136.2 | 0.73 | 0.19 | 0.10 | 0.09 | 34% |  |  | [22](/506948/tyloo-vs-edward-gaming-vct-2025-china-stage-2-w3) | 153 | 145 | 39 | 22 | 18 |
| [ComeBack  M8](/player/40591/comeback) | (+1) | 456 | 1.06 | 228.4 | 1.15 | 67% | 146.0 | 0.82 | 0.16 | 0.15 | 0.17 | 32% | 15% | 6/40 | [29](/511563/gentle-mates-vs-bbl-esports-vct-2025-emea-stage-2-w3) | 374 | 324 | 74 | 70 | 79 |
| [lilo](/player/32725/lilo) |  | 249 | 1.06 | 228.6 | 1.10 | 76% | 147.2 | 0.79 | 0.25 | 0.18 | 0.14 | 20% | 21% | 4/19 | [20](/522542/elevate-academy-vs-delira-jspotter-the-ninjutso-chronicles-final-collapse-round-3) | 197 | 179 | 62 | 44 | 34 |
| [hiro  NAVI](/player/29867/hiro) | (+3) | 431 | 1.06 | 213.0 | 1.09 | 69% | 142.5 | 0.77 | 0.21 | 0.10 | 0.11 | 32% | 8% | 3/39 | [26](/530927/natus-vincere-vs-team-vitality-vct-2025-emea-stage-2-lr1) | 330 | 303 | 92 | 45 | 46 |
| [XuNa  SLT](/player/42733/xuna) |  | 346 | 1.06 | 200.1 | 1.03 | 74% | 132.1 | 0.70 | 0.31 | 0.06 | 0.07 | 27% | 12% | 6/49 | [22](/511267/slt-seongnam-vs-fearx-challengers-2025-korea-wdg-stage-3-w3) | 241 | 233 | 108 | 20 | 25 |
| [DARK  ARMR](/player/31628/dark) | (+2) | 209 | 1.06 | 226.1 | 1.05 | 65% | 147.4 | 0.80 | 0.16 | 0.17 | 0.15 | 26% | 12% | 4/33 | [26](/510558/armour-esports-vs-rabbit-gang-challengers-2025-oceania-split-2-d) | 167 | 159 | 33 | 36 | 32 |
| [VantiK  PRS](/player/39118/vantik) | (+2) | 607 | 1.06 | 200.6 | 1.03 | 73% | 129.7 | 0.70 | 0.40 | 0.10 | 0.09 | 27% | 15% | 12/81 | [20](/511700/prosperity-esports-vs-the-fry-cooks-funhavergg-zero-in-qualifier-7-sf) | 427 | 413 | 245 | 60 | 55 |
| [Boni](/player/24553/boni) | (+3) | 1237 | 1.06 | 244.2 | 1.05 | 69% | 157.7 | 0.83 | 0.26 | 0.19 | 0.18 | 23% | 15% | 12/79 | [34](/516077/burger-boyz-vs-maryville-university-funhavergg-zero-in-final-qualifier-qf) | 1025 | 978 | 327 | 239 | 223 |
| [Izzy  EF](/player/10160/izzy) |  | 299 | 1.06 | 206.8 | 1.13 | 69% | 129.2 | 0.75 | 0.17 | 0.19 | 0.15 | 22% | 12% | 4/34 | [28](/511222/eternal-fire-vs-papara-supermassive-challengers-2025-t-rkiye-birlik-split-3-ur1) | 223 | 198 | 50 | 57 | 46 |
| [Riza  XIP](/player/7443/riza) | (+1) | 414 | 1.06 | 213.7 | 1.10 | 71% | 139.6 | 0.75 | 0.30 | 0.09 | 0.09 | 23% | 25% | 10/40 | [24](/521223/xipto-esports-vs-sharper-esport-challengers-2025-southeast-asia-split-3-w3) | 309 | 282 | 125 | 36 | 39 |
| [Hoax  S8UL](/player/3639/hoax) | (+1) | 473 | 1.06 | 190.6 | 1.08 | 73% | 125.6 | 0.67 | 0.27 | 0.05 | 0.05 | 24% | 14% | 11/76 | [20](/511538/s8ul-esports-vs-dot-exe-challengers-2025-south-asia-ascension-qualifiers-lbf) | 318 | 295 | 130 | 26 | 26 |
| [JA  XIP](/player/13220/ja) |  | 414 | 1.06 | 192.9 | 1.08 | 72% | 130.1 | 0.69 | 0.22 | 0.07 | 0.08 | 27% | 18% | 12/66 | [22](/512875/xipto-esports-vs-126thieves-challengers-2025-southeast-asia-split-3-b) | 284 | 264 | 92 | 31 | 33 |
| [Askia  2G.AC](/player/20238/askia) |  | 262 | 1.06 | 207.8 | 1.05 | 77% | 138.8 | 0.71 | 0.35 | 0.11 | 0.08 | 26% | 23% | 6/26 | [19](/493342/red-canids-vs-2game-academy-challengers-2025-brazil-gamers-club-split-2-r5) | 185 | 177 | 92 | 30 | 21 |
| [Ali  WU](/player/9835/ali) | (+5) | 404 | 1.06 | 185.8 | 1.05 | 72% | 123.5 | 0.68 | 0.30 | 0.08 | 0.08 | 27% | 22% | 13/58 | [23](/513745/winthrop-university-vs-cubert-academy-challengers-2025-north-america-ace-stage-3-r2) | 273 | 260 | 121 | 33 | 31 |
| [huphh  EVX](/player/46277/huphh) | (+1) | 318 | 1.06 | 210.2 | 1.10 | 76% | 140.4 | 0.74 | 0.20 | 0.08 | 0.10 | 20% | 9% | 4/43 | [27](/529555/alliance-guardians-vs-invictus-esports-funhavergg-mad-science-draft-4-qf) | 234 | 212 | 64 | 26 | 33 |
| [Kestrel  Sove](/player/30790/kestrel) | (+2) | 300 | 1.06 | 222.5 | 1.00 | 70% | 144.8 | 0.77 | 0.22 | 0.13 | 0.09 | 27% | 8% | 3/36 | [24](/518389/equinox-vs-berzerkers-dawn-game-changers-2025-north-america-stage-2-ubqf) | 232 | 232 | 67 | 40 | 26 |
| [Block  BAAM](/player/40670/block) |  | 209 | 1.06 | 194.0 | 1.12 | 70% | 129.1 | 0.75 | 0.17 | 0.09 | 0.06 | 32% | 11% | 5/45 | [25](/489325/team-raad-vs-baam-esports-challengers-2025-mena-resilience-north-africa-and-levant-split-2-gf) | 156 | 139 | 36 | 19 | 12 |
| [johnqt  SEN](/player/1265/johnqt) | (+2) | 434 | 1.06 | 172.2 | 1.05 | 77% | 114.1 | 0.59 | 0.46 | 0.06 | 0.05 | 24% | 11% | 7/62 | [18](/530906/sentinels-vs-cloud9-vct-2025-americas-stage-2-ubsf) | 255 | 242 | 200 | 28 | 20 |
| [Flashback  DRX](/player/35013/flashback) | (+1) | 333 | 1.06 | 203.6 | 1.16 | 71% | 134.8 | 0.74 | 0.18 | 0.09 | 0.08 | 33% | 13% | 6/47 | [24](/508837/rex-regum-qeon-vs-drx-vct-2025-pacific-stage-2-w3) | 247 | 213 | 61 | 31 | 27 |
| [glowstick  YFP.X](/player/54657/glowstick) | (+1) | 355 | 1.06 | 185.8 | 0.98 | 73% | 126.2 | 0.67 | 0.43 | 0.04 | 0.05 | 29% | 14% | 5/36 | [29](/518401/artificial-intelligence-vs-berzerkers-dawn-game-changers-2025-north-america-stage-2-lr3) | 237 | 242 | 154 | 14 | 17 |
| [Owen  GOD](/player/49951/owen) | (+2) | 253 | 1.06 | 181.5 | 1.04 | 76% | 122.0 | 0.66 | 0.34 | 0.04 | 0.04 | 33% | 12% | 5/41 | [21](/503446/s2-esports-vs-good-boy-soop-elite-cup-2025-season-2-gf) | 168 | 162 | 86 | 11 | 11 |
| [cortezia  RED](/player/5395/cortezia) | (+1) | 242 | 1.06 | 202.7 | 1.11 | 69% | 138.9 | 0.75 | 0.20 | 0.07 | 0.09 | 33% | 21% | 7/34 | [28](/509816/mibr-vs-100-thieves-vct-2025-americas-stage-2-w3) | 182 | 164 | 49 | 16 | 21 |
| [melya  100T](/player/19556/melya) | (+3) | 272 | 1.06 | 193.7 | 1.09 | 68% | 134.4 | 0.71 | 0.20 | 0.10 | 0.09 | 32% | 9% | 4/45 | [22](/527981/100-thieves-gc-vs-ghost-gaming-game-changers-2025-north-america-stage-2-r3-2-0) | 194 | 178 | 55 | 26 | 24 |
| [Joojina  TLV](/player/15297/joojina) | (+1) | 236 | 1.06 | 181.7 | 1.07 | 78% | 127.6 | 0.64 | 0.46 | 0.10 | 0.09 | 31% | 15% | 4/26 | [27](/514826/team-liquid-brazil-vs-mibr-gc-game-changers-2025-brazil-stage-2-gf) | 151 | 141 | 109 | 23 | 21 |
| [Derrek  EG](/player/1533/derrek) | (+2) | 248 | 1.06 | 208.6 | 0.98 | 67% | 148.6 | 0.73 | 0.27 | 0.06 | 0.05 | 32% | 9% | 4/43 | [30](/509803/evil-geniuses-vs-2game-esports-vct-2025-americas-stage-2-w1) | 180 | 183 | 66 | 16 | 12 |
| [Vitie  TSE](/player/22617/vitie) |  | 403 | 1.06 | 206.7 | 1.04 | 70% | 133.4 | 0.77 | 0.30 | 0.09 | 0.09 | 32% | 11% | 5/46 | [25](/511318/twisted-saints-esports-vs-vertical7even-challengers-2025-north-east-samsung-odyssey-split-3-r1) | 309 | 297 | 121 | 36 | 38 |
| [d4v41  PRX](/player/9803/d4v41) | (+1) | 535 | 1.06 | 203.4 | 1.11 | 73% | 138.0 | 0.73 | 0.26 | 0.10 | 0.06 | 26% | 8% | 6/75 | [29](/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a) | 391 | 353 | 138 | 53 | 34 |
| [qpert  TLA](/player/7105/qpert) |  | 484 | 1.05 | 181.3 | 1.01 | 78% | 114.7 | 0.62 | 0.44 | 0.06 | 0.06 | 29% | 23% | 13/57 | [18](/521605/d-ti-ulice-vs-team-liquid-academy-challengers-2025-north-east-samsung-odyssey-split-3-lbf) | 302 | 298 | 214 | 27 | 30 |
| [sacred  L11](/player/15051/sacred) | (+3) | 405 | 1.05 | 201.2 | 1.09 | 70% | 134.8 | 0.75 | 0.23 | 0.07 | 0.09 | 25% | 23% | 9/39 | [24](/509404/landor-vs-shopify-rebellion-black-challengers-2025-north-america-ace-stage-3-r1) | 303 | 277 | 95 | 29 | 38 |
| [Crazy NY  ZEN](/player/43926/crazy-ny) |  | 208 | 1.05 | 191.5 | 0.98 | 68% | 128.7 | 0.69 | 0.25 | 0.07 | 0.05 | 32% | 14% | 7/51 | [31](/505155/zen-esports-vs-oxen-challengers-2025-latam-south-ace-stage-2-w1) | 144 | 147 | 53 | 15 | 11 |
| [Luid  MIBR.AC](/player/32802/luid) |  | 256 | 1.05 | 234.0 | 1.09 | 70% | 153.5 | 0.83 | 0.19 | 0.18 | 0.19 | 26% | 17% | 3/18 | [24](/493344/elevate-vs-mibr-academy-challengers-2025-brazil-gamers-club-split-2-r5) | 212 | 195 | 48 | 46 | 48 |
| [Shondex  SAD](/player/25902/shondex) | (+1) | 915 | 1.05 | 196.2 | 1.14 | 71% | 127.6 | 0.73 | 0.19 | 0.06 | 0.07 | 41% | 20% | 27/136 | [30](/511699/alliance-guardians-vs-sad-esports-funhavergg-zero-in-qualifier-7-sf) | 668 | 587 | 172 | 53 | 63 |
| [ZmjjKK  EDG](/player/3520/zmjjkk) | (+2) | 559 | 1.05 | 235.2 | 1.08 | 69% | 150.5 | 0.82 | 0.22 | 0.18 | 0.20 | 23% |  | 0/6 | [31](/506960/bilibili-gaming-vs-edward-gaming-vct-2025-china-stage-2-w4) | 461 | 426 | 121 | 102 | 113 |
| [Luca  TSE](/player/31298/luca) | (+1) | 339 | 1.05 | 217.6 | 1.05 | 71% | 148.6 | 0.78 | 0.19 | 0.13 | 0.12 | 22% | 16% | 6/37 | [25](/523612/twisted-saints-esports-vs-easties-evc-legacy-ne-2-playoffs-qf) | 263 | 250 | 63 | 43 | 39 |
| [zhen  S2](/player/17225/zhen) | (+2) | 241 | 1.05 | 233.5 | 1.09 | 71% | 150.3 | 0.82 | 0.19 | 0.22 | 0.20 | 26% | 25% | 4/16 | [23](/509486/panda-cook-tomato-vs-s2-esports-soop-elite-cup-2025-season-2-qf) | 198 | 182 | 46 | 52 | 48 |
| [mxnor  GRE](/player/41456/mxnor) |  | 227 | 1.05 | 205.5 | 1.10 | 74% | 132.8 | 0.71 | 0.32 | 0.06 | 0.07 | 35% | 17% | 4/24 | [22](/510966/elevate-academy-vs-baiters-jspotter-the-ninjutso-chronicles-sf) | 161 | 146 | 72 | 14 | 15 |
| [ZRIP  NKT](/player/26783/zrip) | (+1) | 350 | 1.05 | 224.9 | 1.15 | 74% | 148.9 | 0.80 | 0.21 | 0.14 | 0.13 | 23% | 26% | 7/27 | [24](/521221/team-nkt-vs-z11-challengers-2025-southeast-asia-split-3-w2) | 279 | 242 | 75 | 48 | 46 |
| [woody  RRQA](/player/37057/woody) | (+3) | 232 | 1.05 | 204.8 | 1.06 | 73% | 138.0 | 0.73 | 0.32 | 0.07 | 0.04 | 29% | 4% | 1/23 | [24](/521219/rrq-academy-vs-full-sense-challengers-2025-southeast-asia-split-3-w2) | 169 | 160 | 74 | 16 | 9 |
| [toozy  QOR](/player/20959/toozy) |  | 681 | 1.05 | 197.3 | 1.07 | 78% | 125.4 | 0.69 | 0.43 | 0.09 | 0.09 | 27% | 14% | 9/66 | [20](/510078/maryville-university-vs-qor-funhavergg-zero-in-qualifier-6-qf) | 469 | 438 | 290 | 58 | 59 |
| [Kolby  FAWZ](/player/47515/kolby) |  | 239 | 1.05 | 222.0 | 1.09 | 70% | 146.2 | 0.79 | 0.30 | 0.12 | 0.10 | 27% |  | 0/19 | [38](/515722/prosperity-esports-vs-una-ludio-funhavergg-zero-in-final-qualifier-groups-winners-k) | 188 | 173 | 72 | 28 | 24 |
| [eigne  RU](/player/31458/eigne) |  | 276 | 1.05 | 208.6 | 1.03 | 69% | 139.9 | 0.72 | 0.35 | 0.05 | 0.09 | 28% | 14% | 4/29 | [37](/515724/una-ludio-vs-team-evictix-red-funhavergg-zero-in-final-qualifier-groups-decider-k) | 200 | 194 | 96 | 13 | 24 |
| [cNed  VLNT](/player/573/cned) |  | 247 | 1.05 | 215.8 | 1.05 | 68% | 138.6 | 0.79 | 0.26 | 0.12 | 0.11 | 33% | 11% | 4/37 | [25](/511545/fut-esports-vs-gentle-mates-vct-2025-emea-stage-2-w1) | 194 | 184 | 65 | 29 | 27 |
| [LewN  BBL](/player/20144/lewn) | (+2) | 497 | 1.05 | 228.8 | 1.14 | 68% | 149.6 | 0.83 | 0.14 | 0.18 | 0.17 | 31% | 18% | 8/44 | [31](/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b) | 412 | 362 | 71 | 89 | 86 |
| [Angel  CAT](/player/15592/angel) | (+4) | 242 | 1.05 | 210.0 | 1.06 | 70% | 133.8 | 0.78 | 0.26 | 0.10 | 0.08 | 41% | 3% | 1/37 | [28](/511029/berzerkers-dawn-vs-respawned-cats-game-changers-2025-north-america-stage-2-lr3) | 188 | 178 | 63 | 25 | 20 |
| [MAGNUM  BBL](/player/2173/magnum) | (+3) | 497 | 1.05 | 206.8 | 1.08 | 71% | 134.0 | 0.73 | 0.28 | 0.08 | 0.09 | 30% | 19% | 9/47 | [24](/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b) | 361 | 334 | 139 | 39 | 45 |
| [trent  G2](/player/15500/trent) |  | 384 | 1.05 | 184.7 | 1.04 | 74% | 122.7 | 0.66 | 0.31 | 0.06 | 0.07 | 26% | 10% | 5/51 | [22](/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a) | 252 | 242 | 120 | 23 | 28 |
| [Vedi  BPX](/player/40896/vedi) | (+3) | 437 | 1.05 | 228.1 | 1.07 | 73% | 150.2 | 0.80 | 0.16 | 0.13 | 0.11 | 28% | 16% | 5/31 | [29](/532310/pug-squad-vs-retired-at-20-funhavergg-back-to-basics-1-qf) | 351 | 328 | 68 | 56 | 50 |
| [Truth  The](/player/3986/truth) | (+5) | 866 | 1.05 | 199.4 | 1.07 | 72% | 129.7 | 0.72 | 0.27 | 0.07 | 0.07 | 32% | 9% | 11/125 | [23](/511505/the-fry-cooks-vs-legacy-kingdom-funhavergg-zero-in-qualifier-7-ro16) | 625 | 583 | 233 | 59 | 58 |
| [SugarZ3ro  ZETA](/player/6668/sugarz3ro) |  | 238 | 1.05 | 204.4 | 0.99 | 70% | 132.2 | 0.73 | 0.35 | 0.07 | 0.06 | 31% | 17% | 5/30 | [23](/508839/paper-rex-vs-zeta-division-vct-2025-pacific-stage-2-w3) | 173 | 174 | 83 | 16 | 15 |
| [B1SK  TU](/player/251/b1sk) | (+1) | 418 | 1.05 | 223.3 | 1.13 | 71% | 144.4 | 0.80 | 0.18 | 0.21 | 0.16 | 27% | 17% | 4/23 | [27](/531971/gamax-esports-vs-the-ultimates-challengers-2025-mena-resilience-lan-finals-ubf) | 334 | 295 | 75 | 86 | 66 |
| [Errrnest  OG](/player/48916/errrnest) | (+2) | 334 | 1.05 | 187.9 | 1.02 | 67% | 125.7 | 0.67 | 0.24 | 0.10 | 0.09 | 29% | 30% | 13/44 | [24](/516786/full-house-vs-og-challengers-2025-oceania-split-2-r2) | 223 | 219 | 80 | 33 | 29 |
| [havoc  FUR](/player/8706/havoc) | (+2) | 369 | 1.05 | 213.8 | 1.09 | 72% | 144.0 | 0.76 | 0.21 | 0.10 | 0.11 | 43% | 24% | 9/37 | [24](/518754/red-canids-vs-team-solid-challengers-2025-brazil-gamers-club-split-2-lbf) | 279 | 257 | 77 | 38 | 39 |
| [JoBa  NBG](/player/3181/joba) |  | 259 | 1.05 | 217.4 | 1.01 | 68% | 143.6 | 0.75 | 0.28 | 0.08 | 0.09 | 21% | 9% | 3/33 | [24](/509756/team-evictix-red-vs-jobuypower-funhavergg-zero-in-qualifier-6-group-stage-winners-f) | 195 | 193 | 72 | 21 | 23 |
| [Foxy9  GEN](/player/11600/foxy9) |  | 565 | 1.05 | 203.9 | 1.16 | 72% | 132.9 | 0.73 | 0.15 | 0.10 | 0.07 | 33% | 7% | 3/46 | [24](/510144/gen-g-vs-edward-gaming-esports-world-cup-2025-opening-d) | 411 | 355 | 85 | 58 | 38 |
| [musashi  SGE](/player/4325/musashi) |  | 247 | 1.05 | 194.7 | 1.10 | 73% | 128.4 | 0.72 | 0.33 | 0.08 | 0.11 | 29% | 19% | 6/32 | [24](/528307/eintracht-frankfurt-vs-mouz-challengers-2025-dach-evolution-split-3-gf) | 178 | 162 | 82 | 19 | 27 |
| [Crewen  BCF](/player/12795/crewen) |  | 241 | 1.05 | 204.7 | 1.15 | 70% | 133.6 | 0.71 | 0.17 | 0.05 | 0.07 | 38% | 4% | 1/27 | [23](/511226/bbl-pcific-vs-ulf-esports-challengers-2025-t-rkiye-birlik-split-3-ubf) | 172 | 150 | 42 | 11 | 16 |
| [MrTenzouEz  FL](/player/12979/mrtenzouez) |  | 444 | 1.05 | 202.0 | 1.10 | 74% | 136.8 | 0.71 | 0.30 | 0.08 | 0.09 | 37% | 13% | 5/39 | [26](/524995/fennel-vs-noez-foxx-challengers-league-2025-japan-finals-ubsf) | 316 | 287 | 131 | 37 | 39 |
| [Recoil  TU](/player/39602/recoil) | (+1) | 418 | 1.05 | 200.9 | 1.02 | 73% | 136.3 | 0.71 | 0.29 | 0.08 | 0.06 | 33% | 11% | 6/56 | [21](/531980/the-ultimates-vs-twisted-minds-challengers-2025-mena-resilience-lan-finals-gf) | 297 | 292 | 120 | 34 | 25 |
| [mada  NRG](/player/5132/mada) | (+1) | 424 | 1.04 | 226.2 | 1.10 | 68% | 146.7 | 0.79 | 0.14 | 0.23 | 0.19 | 26% | 15% | 2/13 | [26](/509814/leviat-n-vs-nrg-vct-2025-americas-stage-2-w3) | 335 | 305 | 58 | 97 | 79 |
| [kumi  UST](/player/25745/kumi) | (+4) | 1084 | 1.04 | 205.9 | 1.08 | 71% | 134.8 | 0.73 | 0.21 | 0.08 | 0.07 | 33% | 18% | 28/155 | [34](/522014/maryville-university-vs-nightblood-gaming-challengers-2025-north-america-ace-stage-3-r4) | 796 | 737 | 228 | 88 | 81 |
| [Avez  KC](/player/5654/avez) | (+3) | 505 | 1.04 | 214.0 | 1.06 | 67% | 141.9 | 0.77 | 0.21 | 0.10 | 0.11 | 34% | 31% | 12/39 | [28](/511548/fnatic-vs-karmine-corp-vct-2025-emea-stage-2-w1) | 387 | 364 | 105 | 51 | 57 |
| [bang  SEN](/player/3880/bang) |  | 434 | 1.04 | 192.9 | 1.08 | 76% | 117.5 | 0.69 | 0.41 | 0.08 | 0.09 | 28% | 13% | 4/31 | [21](/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b) | 300 | 277 | 176 | 35 | 39 |
| [Jamppi  BBL](/player/9780/jamppi) | (+2) | 497 | 1.04 | 198.1 | 1.02 | 74% | 128.5 | 0.67 | 0.31 | 0.08 | 0.08 | 27% | 14% | 8/57 | [24](/511547/team-heretics-vs-bbl-esports-vct-2025-emea-stage-2-w1) | 333 | 326 | 153 | 40 | 41 |
| [Zamal  VLYN](/player/30467/zamal) | (+4) | 1049 | 1.04 | 227.0 | 1.09 | 70% | 145.0 | 0.79 | 0.21 | 0.16 | 0.14 | 25% | 23% | 16/71 | [25](/510080/rose-vs-pigeons-funhavergg-zero-in-qualifier-6-qf) | 825 | 758 | 223 | 171 | 146 |
| [Akame  ZEN.GC](/player/24764/akame) | (+1) | 268 | 1.04 | 230.2 | 1.09 | 65% | 146.9 | 0.83 | 0.18 | 0.21 | 0.16 | 45% | 27% | 3/11 | [30](/504892/leviat-n-gc-vs-zen-esports-gc-game-changers-2025-latam-south-stage-2-gf) | 222 | 204 | 48 | 56 | 43 |
| [xffero  RRQ](/player/4871/xffero) | (+2) | 596 | 1.04 | 188.6 | 1.09 | 69% | 124.7 | 0.69 | 0.26 | 0.06 | 0.05 | 28% | 18% | 17/94 | [25](/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c) | 410 | 376 | 154 | 38 | 29 |
